task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
32	aa/82d296	1989	TRIMGALORE (C0_R4_T1)	CACHED	0	2022-04-04 16:47:31.078	28m 59s	17m 36s	489.7%	3 GB	4 GB	98 GB	95 GB
33	b3/cee920	1991	TRIMGALORE (C0_R4_T2)	CACHED	0	2022-04-04 16:47:32.705	29m 48s	18m 1s	484.9%	3.1 GB	4 GB	99.7 GB	96.7 GB
38	24/97da87	2010	BWA_MEM (C0_R4_T1)	CACHED	0	2022-04-04 17:16:33.101	34m 58s	34m 16s	1122.7%	7.3 GB	8.7 GB	22.6 GB	18.5 GB
36	e3/581320	1995	FASTQC (IK0_R2_T1)	CACHED	0	2022-04-04 16:47:34.569	25m 1s	13m 20s	99.7%	1.1 GB	4.2 GB	5.2 GB	4.7 MB
35	84/34c81c	2031	SORT_BAM (C0_R3_T2)	CACHED	0	2022-04-04 18:10:37.936	11m 39s	11m 29s	168.0%	5.1 GB	6 GB	18.7 GB	7.3 GB
37	ae/2069df	2000	FASTQC (IK0_R2_T2)	CACHED	0	2022-04-04 16:47:37.283	28m 48s	13m 40s	98.6%	1.1 GB	4.3 GB	5 GB	4.6 MB
34	47/364b84	2026	SORT_BAM (C0_R3_T1)	CACHED	0	2022-04-04 17:58:59.335	9m 27s	9m 14s	157.1%	5.1 GB	6 GB	15.7 GB	6.1 GB
40	ef/bb33b6	2013	BWA_MEM (C0_R4_T2)	CACHED	0	2022-04-04 17:17:22.485	42m 59s	39m 30s	1114.3%	7.2 GB	8.6 GB	23 GB	18.9 GB
39	9d/a612fa	1994	TRIMGALORE (IK0_R1_T1)	CACHED	0	2022-04-04 16:47:33.581	40m 22s	28m 10s	492.3%	3.3 GB	4.2 GB	159.1 GB	154.3 GB
42	37/0b32d7	1997	FASTQC (IK0_R3_T1)	CACHED	0	2022-04-04 16:47:35.238	22m	10m 22s	98.5%	1.2 GB	4.3 GB	3.9 GB	4.6 MB
43	f6/312ec8	2001	FASTQC (IK0_R3_T2)	CACHED	0	2022-04-04 16:47:37.581	27m 8s	9m 38s	100.0%	1.2 GB	4.3 GB	3.8 GB	4.6 MB
41	31/d8fa86	2024	SORT_BAM (C0_R4_T1)	CACHED	0	2022-04-04 17:51:34.378	8m 7s	7m 57s	161.9%	5.1 GB	6 GB	13.2 GB	5.2 GB
44	2a/7ddc3a	1996	TRIMGALORE (IK0_R1_T2)	CACHED	0	2022-04-04 16:47:35.002	34m 26s	21m 52s	493.0%	3.1 GB	4 GB	122.5 GB	118.7 GB
45	03/0a5f6c	2027	SORT_BAM (C0_R4_T2)	CACHED	0	2022-04-04 18:00:23.386	8m 33s	8m 23s	164.1%	5.1 GB	6 GB	13.3 GB	5.2 GB
46	1a/b69699	2017	BWA_MEM (IK0_R1_T1)	CACHED	0	2022-04-04 17:27:57.457	56m 59s	56m 42s	1119.7%	7.4 GB	8.8 GB	33.6 GB	30.1 GB
47	cb/131aec	2015	BWA_MEM (IK0_R1_T2)	CACHED	0	2022-04-04 17:22:02.937	44m 38s	44m 19s	1132.3%	7.3 GB	8.7 GB	27 GB	23.1 GB
49	0e/e154a9	2005	FASTQC (IK0_R4_T2)	CACHED	0	2022-04-04 16:47:38.599	33m 57s	11m 40s	99.4%	1.2 GB	4.3 GB	4.3 GB	4.6 MB
48	52/d8d6c6	2004	FASTQC (IK0_R4_T1)	CACHED	0	2022-04-04 16:47:38.398	32m 57s	13m 22s	95.0%	1.1 GB	4.3 GB	4.7 GB	4.6 MB
52	5e/249154	2035	SORT_BAM (IK0_R1_T1)	CACHED	0	2022-04-04 18:24:58.973	14m 17s	14m 2s	153.2%	5.1 GB	6 GB	20.5 GB	8.1 GB
50	88/dc0db1	1998	TRIMGALORE (IK0_R2_T1)	CACHED	0	2022-04-04 16:47:35.550	46m 50s	31m 21s	488.8%	3.3 GB	4.3 GB	173 GB	167.7 GB
51	41/20975b	1999	TRIMGALORE (IK0_R2_T2)	CACHED	0	2022-04-04 16:47:36.760	45m 24s	29m 53s	492.4%	3.3 GB	4.3 GB	167.6 GB	162.5 GB
54	03/aa145b	2021	BWA_MEM (IK0_R2_T1)	CACHED	0	2022-04-04 17:34:27.768	56m 29s	56m 7s	1117.9%	7.4 GB	8.9 GB	36.1 GB	32.7 GB
53	c0/b7a1a1	2028	SORT_BAM (IK0_R1_T2)	CACHED	0	2022-04-04 18:06:43.262	10m 18s	10m 6s	149.6%	5.1 GB	6 GB	15.3 GB	5.6 GB
55	16/92847e	2020	BWA_MEM (IK0_R2_T2)	CACHED	0	2022-04-04 17:33:03.990	56m 47s	56m 28s	1110.6%	7.4 GB	8.8 GB	35.1 GB	31.7 GB
56	3c/fed103	2037	SORT_BAM (IK0_R2_T1)	CACHED	0	2022-04-04 18:30:58.342	14m 8s	13m 53s	157.5%	5.1 GB	6 GB	22.3 GB	8.6 GB
13	d2/2212e8	2139	get_software_versions	COMPLETED	0	2022-04-05 10:55:18.064	17.1s	10.1s	65.4%	57.7 MB	4.2 GB	43.7 MB	6.3 KB
57	85/9b603e	2002	TRIMGALORE (IK0_R3_T1)	CACHED	0	2022-04-04 16:47:37.887	44m 23s	23m 20s	492.1%	3.3 GB	4.2 GB	129.7 GB	125.8 GB
58	9c/2e3df5	2003	TRIMGALORE (IK0_R3_T2)	CACHED	0	2022-04-04 16:47:38.136	45m 8s	22m 30s	494.8%	3.1 GB	4 GB	121.8 GB	117.9 GB
60	e5/f765bc	2018	BWA_MEM (IK0_R3_T1)	CACHED	0	2022-04-04 17:32:03.364	45m 38s	45m 24s	1115.9%	7.3 GB	8.8 GB	28.4 GB	24.6 GB
59	1e/a3d373	2036	SORT_BAM (IK0_R2_T2)	CACHED	0	2022-04-04 18:29:55.409	14m 26s	14m 13s	168.1%	5.1 GB	6 GB	21.5 GB	8.4 GB
63	8e/0dd5fa	2019	BWA_MEM (IK0_R3_T2)	CACHED	0	2022-04-04 17:32:49.731	43m 46s	43m 30s	1122.3%	7.3 GB	8.8 GB	27.1 GB	23.2 GB
61	b7/6b5fb0	2006	TRIMGALORE (IK0_R4_T1)	CACHED	0	2022-04-04 16:47:38.805	53m 27s	27m 59s	492.2%	3.4 GB	4.3 GB	156.5 GB	151.7 GB
62	dd/ff1306	2034	SORT_BAM (IK0_R3_T1)	CACHED	0	2022-04-04 18:17:43.850	10m 43s	10m 30s	160.6%	5.1 GB	6 GB	17.5 GB	6.9 GB
65	fa/a12512	2033	SORT_BAM (IK0_R3_T2)	CACHED	0	2022-04-04 18:16:38.586	14m 53s	14m 38s	165.4%	5.1 GB	6 GB	16.7 GB	6.2 GB
64	f1/e97812	2007	TRIMGALORE (IK0_R4_T2)	CACHED	0	2022-04-04 16:47:38.999	54m 42s	26m 17s	496.1%	3.4 GB	4.3 GB	148.4 GB	144 GB
66	27/fcbec1	2022	BWA_MEM (IK0_R4_T1)	CACHED	0	2022-04-04 17:41:10.491	53m 16s	52m 59s	1124.0%	7.4 GB	8.6 GB	33.3 GB	29.7 GB
67	55/34e3c0	2023	BWA_MEM (IK0_R4_T2)	CACHED	0	2022-04-04 17:42:23.263	52m 4s	51m 47s	1125.0%	7.3 GB	8.7 GB	31.9 GB	28.2 GB
