task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
103	cf/b70ada	2088	MERGED_LIB_MACS2_ANNOTATE (C0_R1)	CACHED	0	2022-04-04 21:27:35.237	3m 43s	3m 38s	99.9%	2.6 GB	2.6 GB	1.7 GB	376.7 MB
100	a3/3b3fac	2063	MERGED_LIB_PRESEQ (IK0_R2)	CACHED	0	2022-04-04 20:24:10.644	52m 33s	52m 24s	99.6%	1.1 GB	1.4 GB	7.7 GB	493.4 KB
93	de/a717f4	2045	MERGED_LIB_BAM (IK0_R3)	CACHED	0	2022-04-04 18:48:08.345	1h 14m 29s	1h 14m 5s	113.9%	27.5 GB	40.1 GB	42.8 GB	12.2 GB
98	6f/8ac41a	2064	MERGED_LIB_BAM_FILTER (IK0_R2)	CACHED	0	2022-04-04 20:24:11.250	49m 42s	48m 33s	153.6%	5.1 GB	6 GB	37 GB	22.1 GB
99	c4/7ea2d1	2062	MERGED_LIB_BAM_REMOVE_ORPHAN (C0_R4)	CACHED	0	2022-04-04 20:17:24.252	17m 49s	17m 8s	134.1%	5.1 GB	6 GB	19 GB	9.4 GB
96	3b/fd2298	2104	MERGED_LIB_MACS2 (C0_R2)	CACHED	0	2022-04-04 21:36:54.931	19m 39s	19m 27s	113.1%	1.4 GB	1.7 GB	17.7 GB	9.7 GB
104	39/7f95d0	2047	MERGED_LIB_BAM (IK0_R4)	CACHED	0	2022-04-04 18:48:09.365	1h 25m 53s	1h 25m 33s	113.2%	30.1 GB	40 GB	48.8 GB	13.9 GB
111	a9/eb9529	2111	MERGED_LIB_PLOTPROFILE (C0_R2)	CACHED	0	2022-04-04 21:47:15.217	10m 49s	10m 39s	697.1%	3.5 GB	4.5 GB	4.3 GB	1.3 GB
114	59/e637c6	2116	MERGED_LIB_MACS2_ANNOTATE (C0_R2)	CACHED	0	2022-04-04 21:56:34.938	3m 54s	3m 48s	99.9%	2.6 GB	2.6 GB	1.7 GB	385.8 MB
118	e2/6526c0	2058	MERGED_LIB_PRESEQ (IK0_R4)	CACHED	0	2022-04-04 20:14:07.834	1h 2m 40s	1h 2m 32s	95.9%	1.1 GB	1.4 GB	7 GB	494.4 KB
108	8f/378f12	2052	MERGED_LIB_PRESEQ (IK0_R3)	CACHED	0	2022-04-04 20:02:40.834	38m 27s	38m 19s	97.4%	532.2 MB	732.4 MB	6.1 GB	490.7 KB
105	30/03f796	2083	MERGED_LIB_PLOTFINGERPRINT (C0_R3)	CACHED	0	2022-04-04 21:12:51.240	1m 57s	1m 47s	724.2%	915.7 MB	2.1 GB	43.7 GB	6.4 MB
106	bf/9b191d	2081	MERGED_LIB_MACS2 (C0_R3)	CACHED	0	2022-04-04 21:12:49.433	16m 34s	16m 27s	116.3%	1.3 GB	1.6 GB	16.2 GB	8.5 GB
110	6e/ab3dce	2082	MERGED_LIB_PICARD_METRICS (C0_R3)	CACHED	0	2022-04-04 21:12:49.774	10m 19s	10m 14s	97.6%	2.5 GB	39.3 GB	6.8 GB	845 KB
112	37/734ed5	2067	MERGED_LIB_BIGWIG (C0_R4)	CACHED	0	2022-04-04 20:35:16.650	7m 1s	6m 54s	108.3%	1.9 GB	1.9 GB	11.3 GB	6.1 GB
