TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
3569000000.0	199019823.9	189083602.4	209533108.9
3570000000.0	199023674.1	189086208.6	209537771.9
3571000000.0	199027522.2	189088813.3	209542432.6
3572000000.0	199031368.4	189091416.5	209547090.8
3573000000.0	199035212.5	189094018.2	209551746.6
3574000000.0	199039054.6	189096618.5	209556400.0
3575000000.0	199042894.7	189099217.3	209561051.0
3576000000.0	199046732.9	189101814.5	209565699.6
3577000000.0	199050569.0	189104410.3	209570345.8
3578000000.0	199054403.1	189107004.7	209574989.7
3579000000.0	199058235.2	189109597.5	209579631.1
3580000000.0	199062065.4	189112188.8	209584270.1
3581000000.0	199065893.5	189114778.7	209588906.8
3582000000.0	199069719.6	189117367.1	209593541.1
3583000000.0	199073543.8	189119954.1	209598173.0
3584000000.0	199077365.9	189122539.5	209602802.5
3585000000.0	199081186.1	189125123.5	209607429.6
3586000000.0	199085004.3	189127706.1	209612054.4
3587000000.0	199088820.5	189130287.1	209616676.8
3588000000.0	199092634.7	189132866.7	209621296.8
3589000000.0	199096447.0	189135444.8	209625914.4
3590000000.0	199100257.2	189138021.5	209630529.6
3591000000.0	199104065.5	189140596.6	209635142.5
3592000000.0	199107871.8	189143170.4	209639753.1
3593000000.0	199111676.1	189145742.6	209644361.2
3594000000.0	199115478.4	189148313.4	209648967.0
3595000000.0	199119278.8	189150882.8	209653570.4
3596000000.0	199123077.2	189153450.7	209658171.5
3597000000.0	199126873.7	189156017.1	209662770.2
3598000000.0	199130668.1	189158582.1	209667366.6
3599000000.0	199134460.6	189161145.6	209671960.6
3600000000.0	199138251.1	189163707.7	209676552.3
3601000000.0	199142039.7	189166268.3	209681141.6
3602000000.0	199145826.3	189168827.4	209685728.5
3603000000.0	199149611.0	189171385.1	209690313.1
3604000000.0	199153393.7	189173941.4	209694895.4
3605000000.0	199157174.4	189176496.2	209699475.3
3606000000.0	199160953.2	189179049.6	209704052.9
3607000000.0	199164730.0	189181601.5	209708628.1
3608000000.0	199168504.8	189184152.0	209713201.0
3609000000.0	199172277.8	189186701.1	209717771.6
3610000000.0	199176048.7	189189248.7	209722339.8
3611000000.0	199179817.7	189191794.8	209726905.7
3612000000.0	199183584.8	189194339.5	209731469.3
3613000000.0	199187349.9	189196882.8	209736030.5
3614000000.0	199191113.1	189199424.7	209740589.4
3615000000.0	199194874.3	189201965.1	209745146.0
3616000000.0	199198633.6	189204504.1	209749700.3
3617000000.0	199202391.0	189207041.6	209754252.2
3618000000.0	199206146.4	189209577.7	209758801.8
3619000000.0	199209899.9	189212112.4	209763349.1
3620000000.0	199213651.4	189214645.7	209767894.1
3621000000.0	199217401.1	189217177.5	209772436.8
3622000000.0	199221148.7	189219707.9	209776977.1
3623000000.0	199224894.5	189222236.9	209781515.2
3624000000.0	199228638.3	189224764.4	209786050.9
3625000000.0	199232380.2	189227290.6	209790584.3
3626000000.0	199236120.2	189229815.3	209795115.4
3627000000.0	199239858.2	189232338.6	209799644.3
3628000000.0	199243594.3	189234860.4	209804170.8
3629000000.0	199247328.5	189237380.9	209808695.0
3630000000.0	199251060.8	189239899.9	209813216.9
3631000000.0	199254791.2	189242417.5	209817736.5
3632000000.0	199258519.6	189244933.7	209822253.8
3633000000.0	199262246.1	189247448.5	209826768.9
3634000000.0	199265970.8	189249961.9	209831281.6
3635000000.0	199269693.5	189252473.9	209835792.0
3636000000.0	199273414.2	189254984.4	209840300.2
3637000000.0	199277133.1	189257493.6	209844806.1
3638000000.0	199280850.1	189260001.3	209849309.6
3639000000.0	199284565.2	189262507.6	209853810.9
3640000000.0	199288278.3	189265012.6	209858310.0
3641000000.0	199291989.6	189267516.1	209862806.7
3642000000.0	199295698.9	189270018.2	209867301.2
3643000000.0	199299406.4	189272518.9	209871793.3
3644000000.0	199303111.9	189275018.2	209876283.3
3645000000.0	199306815.6	189277516.2	209880770.9
3646000000.0	199310517.3	189280012.7	209885256.3
3647000000.0	199314217.2	189282507.8	209889739.4
3648000000.0	199317915.2	189285001.5	209894220.2
3649000000.0	199321611.3	189287493.8	209898698.7
3650000000.0	199325305.4	189289984.8	209903175.0
3651000000.0	199328997.7	189292474.3	209907649.1
3652000000.0	199332688.1	189294962.5	209912120.8
3653000000.0	199336376.7	189297449.2	209916590.4
3654000000.0	199340063.3	189299934.6	209921057.6
3655000000.0	199343748.1	189302418.6	209925522.6
3656000000.0	199347430.9	189304901.2	209929985.4
3657000000.0	199351111.9	189307382.4	209934445.9
3658000000.0	199354791.0	189309862.2	209938904.1
3659000000.0	199358468.3	189312340.7	209943360.1
3660000000.0	199362143.6	189314817.7	209947813.9
3661000000.0	199365817.1	189317293.4	209952265.4
3662000000.0	199369488.7	189319767.7	209956714.6
3663000000.0	199373158.5	189322240.6	209961161.6
3664000000.0	199376826.3	189324712.1	209965606.4
3665000000.0	199380492.3	189327182.3	209970048.9
3666000000.0	199384156.5	189329651.1	209974489.2
3667000000.0	199387818.7	189332118.5	209978927.3
3668000000.0	199391479.1	189334584.6	209983363.1
3669000000.0	199395137.7	189337049.2	209987796.7
3670000000.0	199398794.3	189339512.5	209992228.1
3671000000.0	199402449.1	189341974.4	209996657.2
3672000000.0	199406102.1	189344435.0	210001084.2
3673000000.0	199409753.2	189346894.2	210005508.8
3674000000.0	199413402.4	189349352.0	210009931.3
3675000000.0	199417049.8	189351808.5	210014351.6
3676000000.0	199420695.4	189354263.6	210018769.6
3677000000.0	199424339.0	189356717.3	210023185.4
3678000000.0	199427980.9	189359169.7	210027599.0
3679000000.0	199431620.8	189361620.7	210032010.3
3680000000.0	199435259.0	189364070.3	210036419.5
3681000000.0	199438895.3	189366518.6	210040826.4
