TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
9074000000.0	180052230.2	164050667.2	186752112.5
9075000000.0	180052655.9	164050780.2	186752599.9
9076000000.0	180053081.6	164050893.1	186753087.3
9077000000.0	180053507.2	164051006.0	186753574.5
9078000000.0	180053932.7	164051118.9	186754061.6
9079000000.0	180054358.2	164051231.8	186754548.6
9080000000.0	180054783.5	164051344.6	186755035.5
9081000000.0	180055208.7	164051457.4	186755522.3
9082000000.0	180055633.9	164051570.2	186756009.0
9083000000.0	180056058.9	164051682.9	186756495.5
9084000000.0	180056483.9	164051795.6	186756982.0
9085000000.0	180056908.7	164051908.3	186757468.4
9086000000.0	180057333.5	164052020.9	186757954.7
9087000000.0	180057758.2	164052133.5	186758440.8
9088000000.0	180058182.8	164052246.1	186758926.9
9089000000.0	180058607.3	164052358.6	186759412.8
9090000000.0	180059031.7	164052471.1	186759898.7
9091000000.0	180059456.0	164052583.6	186760384.4
9092000000.0	180059880.2	164052696.1	186760870.1
9093000000.0	180060304.4	164052808.5	186761355.6
9094000000.0	180060728.4	164052920.9	186761841.1
9095000000.0	180061152.4	164053033.3	186762326.4
9096000000.0	180061576.2	164053145.6	186762811.6
9097000000.0	180062000.0	164053257.9	186763296.7
9098000000.0	180062423.7	164053370.2	186763781.7
9099000000.0	180062847.2	164053482.4	186764266.7
9100000000.0	180063270.7	164053594.6	186764751.5
9101000000.0	180063694.1	164053706.8	186765236.2
9102000000.0	180064117.5	164053819.0	186765720.8
9103000000.0	180064540.7	164053931.1	186766205.3
9104000000.0	180064963.8	164054043.2	186766689.7
9105000000.0	180065386.9	164054155.2	186767174.0
9106000000.0	180065809.8	164054267.3	186767658.1
9107000000.0	180066232.7	164054379.3	186768142.2
9108000000.0	180066655.4	164054491.2	186768626.2
9109000000.0	180067078.1	164054603.2	186769110.1
9110000000.0	180067500.7	164054715.1	186769593.8
9111000000.0	180067923.2	164054827.0	186770077.5
9112000000.0	180068345.6	164054938.8	186770561.1
9113000000.0	180068767.9	164055050.6	186771044.5
9114000000.0	180069190.1	164055162.4	186771527.9
9115000000.0	180069612.3	164055274.2	186772011.1
9116000000.0	180070034.3	164055385.9	186772494.3
9117000000.0	180070456.2	164055497.6	186772977.3
9118000000.0	180070878.1	164055609.2	186773460.3
9119000000.0	180071299.9	164055720.9	186773943.1
9120000000.0	180071721.6	164055832.5	186774425.8
9121000000.0	180072143.1	164055944.1	186774908.5
9122000000.0	180072564.6	164056055.6	186775391.0
9123000000.0	180072986.0	164056167.1	186775873.4
9124000000.0	180073407.4	164056278.6	186776355.8
9125000000.0	180073828.6	164056390.1	186776838.0
9126000000.0	180074249.7	164056501.5	186777320.1
9127000000.0	180074670.8	164056612.9	186777802.1
9128000000.0	180075091.7	164056724.2	186778284.0
9129000000.0	180075512.6	164056835.6	186778765.8
9130000000.0	180075933.4	164056946.9	186779247.5
9131000000.0	180076354.0	164057058.1	186779729.1
9132000000.0	180076774.6	164057169.4	186780210.6
9133000000.0	180077195.1	164057280.6	186780692.0
9134000000.0	180077615.6	164057391.8	186781173.3
9135000000.0	180078035.9	164057502.9	186781654.5
9136000000.0	180078456.1	164057614.1	186782135.6
9137000000.0	180078876.3	164057725.2	186782616.6
9138000000.0	180079296.3	164057836.2	186783097.4
9139000000.0	180079716.3	164057947.2	186783578.2
9140000000.0	180080136.1	164058058.3	186784058.9
9141000000.0	180080555.9	164058169.2	186784539.5
9142000000.0	180080975.6	164058280.2	186785019.9
9143000000.0	180081395.2	164058391.1	186785500.3
9144000000.0	180081814.7	164058502.0	186785980.6
9145000000.0	180082234.2	164058612.8	186786460.7
9146000000.0	180082653.5	164058723.6	186786940.8
9147000000.0	180083072.7	164058834.4	186787420.7
9148000000.0	180083491.9	164058945.2	186787900.6
9149000000.0	180083911.0	164059055.9	186788380.3
9150000000.0	180084329.9	164059166.6	186788860.0
9151000000.0	180084748.8	164059277.3	186789339.5
9152000000.0	180085167.6	164059387.9	186789819.0
9153000000.0	180085586.3	164059498.6	186790298.3
9154000000.0	180086004.9	164059609.1	186790777.6
9155000000.0	180086423.5	164059719.7	186791256.7
9156000000.0	180086841.9	164059830.2	186791735.7
9157000000.0	180087260.3	164059940.7	186792214.7
9158000000.0	180087678.5	164060051.2	186792693.5
9159000000.0	180088096.7	164060161.6	186793172.2
9160000000.0	180088514.8	164060272.0	186793650.8
9161000000.0	180088932.8	164060382.4	186794129.4
9162000000.0	180089350.7	164060492.7	186794607.8
9163000000.0	180089768.5	164060603.1	186795086.1
9164000000.0	180090186.2	164060713.3	186795564.3
9165000000.0	180090603.8	164060823.6	186796042.5
9166000000.0	180091021.4	164060933.8	186796520.5
9167000000.0	180091438.8	164061044.0	186796998.4
9168000000.0	180091856.2	164061154.2	186797476.2
9169000000.0	180092273.5	164061264.3	186797953.9
9170000000.0	180092690.6	164061374.4	186798431.5
9171000000.0	180093107.7	164061484.5	186798909.0
9172000000.0	180093524.8	164061594.6	186799386.4
9173000000.0	180093941.7	164061704.6	186799863.7
9174000000.0	180094358.5	164061814.6	186800340.9
9175000000.0	180094775.2	164061924.5	186800818.0
9176000000.0	180095191.9	164062034.5	186801295.0
9177000000.0	180095608.5	164062144.4	186801771.9
9178000000.0	180096024.9	164062254.2	186802248.7
9179000000.0	180096441.3	164062364.1	186802725.4
9180000000.0	180096857.6	164062473.9	186803202.0
9181000000.0	180097273.8	164062583.7	186803678.5
9182000000.0	180097690.0	164062693.4	186804154.9
9183000000.0	180098106.0	164062803.2	186804631.2
9184000000.0	180098521.9	164062912.9	186805107.3
9185000000.0	180098937.8	164063022.5	186805583.4
9186000000.0	180099353.5	164063132.2	186806059.4
9187000000.0	180099769.2	164063241.8	186806535.3
9188000000.0	180100184.8	164063351.3	186807011.1
9189000000.0	180100600.3	164063460.9	186807486.8
9190000000.0	180101015.7	164063570.4	186807962.3
9191000000.0	180101431.0	164063679.9	186808437.8
9192000000.0	180101846.3	164063789.3	186808913.2
9193000000.0	180102261.4	164063898.8	186809388.5
9194000000.0	180102676.5	164064008.2	186809863.6
9195000000.0	180103091.4	164064117.5	186810338.7
9196000000.0	180103506.3	164064226.9	186810813.7
9197000000.0	180103921.1	164064336.2	186811288.6
9198000000.0	180104335.8	164064445.5	186811763.3
9199000000.0	180104750.4	164064554.7	186812238.0
9200000000.0	180105165.0	164064664.0	186812712.6
9201000000.0	180105579.4	164064773.2	186813187.0
9202000000.0	180105993.8	164064882.3	186813661.4
9203000000.0	180106408.0	164064991.5	186814135.7
9204000000.0	180106822.2	164065100.6	186814609.9
9205000000.0	180107236.3	164065209.6	186815083.9
9206000000.0	180107650.3	164065318.7	186815557.9
9207000000.0	180108064.2	164065427.7	186816031.8
9208000000.0	180108478.0	164065536.7	186816505.5
9209000000.0	180108891.7	164065645.7	186816979.2
9210000000.0	180109305.4	164065754.6	186817452.7
9211000000.0	180109718.9	164065863.5	186817926.2
9212000000.0	180110132.4	164065972.4	186818399.6
9213000000.0	180110545.8	164066081.2	186818872.8
9214000000.0	180110959.1	164066190.0	186819346.0
9215000000.0	180111372.3	164066298.8	186819819.1
9216000000.0	180111785.4	164066407.6	186820292.0
9217000000.0	180112198.4	164066516.3	186820764.9
9218000000.0	180112611.4	164066625.0	186821237.6
9219000000.0	180113024.2	164066733.7	186821710.3
9220000000.0	180113437.0	164066842.3	186822182.9
9221000000.0	180113849.7	164066950.9	186822655.3
9222000000.0	180114262.3	164067059.5	186823127.7
9223000000.0	180114674.8	164067168.0	186823600.0
9224000000.0	180115087.2	164067276.6	186824072.1
9225000000.0	180115499.5	164067385.1	186824544.2
9226000000.0	180115911.8	164067493.5	186825016.1
9227000000.0	180116323.9	164067602.0	186825488.0
9228000000.0	180116736.0	164067710.4	186825959.8
9229000000.0	180117148.0	164067818.7	186826431.4
9230000000.0	180117559.9	164067927.1	186826903.0
9231000000.0	180117971.7	164068035.4	186827374.4
9232000000.0	180118383.4	164068143.7	186827845.8
9233000000.0	180118795.0	164068252.0	186828317.1
9234000000.0	180119206.6	164068360.2	186828788.2
9235000000.0	180119618.0	164068468.4	186829259.3
9236000000.0	180120029.4	164068576.6	186829730.3
9237000000.0	180120440.7	164068684.7	186830201.1
9238000000.0	180120851.8	164068792.9	186830671.9
9239000000.0	180121263.0	164068900.9	186831142.5
9240000000.0	180121674.0	164069009.0	186831613.1
9241000000.0	180122084.9	164069117.0	186832083.6
9242000000.0	180122495.7	164069225.0	186832553.9
9243000000.0	180122906.5	164069333.0	186833024.2
9244000000.0	180123317.2	164069441.0	186833494.4
9245000000.0	180123727.8	164069548.9	186833964.4
9246000000.0	180124138.3	164069656.8	186834434.4
9247000000.0	180124548.7	164069764.6	186834904.3
9248000000.0	180124959.0	164069872.4	186835374.1
9249000000.0	180125369.2	164069980.2	186835843.7
9250000000.0	180125779.4	164070088.0	186836313.3
9251000000.0	180126189.4	164070195.8	186836782.8
9252000000.0	180126599.4	164070303.5	186837252.1
9253000000.0	180127009.3	164070411.2	186837721.4
9254000000.0	180127419.1	164070518.8	186838190.6
9255000000.0	180127828.8	164070626.4	186838659.7
9256000000.0	180128238.4	164070734.0	186839128.7
9257000000.0	180128648.0	164070841.6	186839597.5
9258000000.0	180129057.4	164070949.2	186840066.3
9259000000.0	180129466.8	164071056.7	186840535.0
9260000000.0	180129876.1	164071164.2	186841003.6
9261000000.0	180130285.3	164071271.6	186841472.1
9262000000.0	180130694.4	164071379.0	186841940.4
9263000000.0	180131103.4	164071486.4	186842408.7
9264000000.0	180131512.4	164071593.8	186842876.9
9265000000.0	180131921.2	164071701.2	186843345.0
9266000000.0	180132330.0	164071808.5	186843813.0
9267000000.0	180132738.6	164071915.8	186844280.9
9268000000.0	180133147.2	164072023.0	186844748.7
9269000000.0	180133555.7	164072130.2	186845216.4
9270000000.0	180133964.2	164072237.4	186845684.0
9271000000.0	180134372.5	164072344.6	186846151.5
9272000000.0	180134780.7	164072451.7	186846618.9
